loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
3575,Kepler-896 b,1,144.54739600,896.00,5262.00,,2.530,
3576,Kepler-897 b,1,8.04726420,1147.00,5839.00,,2.390,
3577,Kepler-898 b,1,5.87061910,479.00,4223.00,,1.490,
3578,Kepler-899 b,1,19.17891293,1038.00,5595.00,,2.680,
3579,Kepler-9 b,3,19.23891000,614.00,5774.00,43.40000,8.290,2010-10
3580,Kepler-9 c,3,38.98530000,614.00,5774.00,29.90000,8.080,2010-10
3581,Kepler-9 d,3,1.59285100,614.00,5774.00,,1.640,2011-01
3582,Kepler-90 i,8,14.44912000,780.00,6080.00,,1.320,
3583,Kepler-900 b,1,6.99130860,505.00,4836.00,,2.080,
3584,Kepler-901 b,1,3.51749439,241.00,4184.00,,1.370,
3585,Kepler-902 b,1,40.10995470,904.00,5647.00,,2.540,
3586,Kepler-903 b,2,10.35077210,829.00,5682.00,,2.010,
3587,Kepler-903 c,2,62.92285570,829.00,5682.00,,2.530,
3588,Kepler-904 b,1,3.02166863,1151.00,6160.00,,1.770,
3589,Kepler-905 b,1,5.08274652,521.00,5461.00,,1.410,
3590,Kepler-906 b,1,41.69799760,758.00,6035.00,,2.110,
3591,Kepler-907 b,1,15.86621821,352.00,6106.00,,1.200,
3592,Kepler-908 b,1,1.34059747,250.00,5973.00,,1.220,
3593,Kepler-909 b,1,13.93290318,318.00,6154.00,,1.470,
3594,Kepler-91 b,1,6.24658000,1344.56,4550.00,257.44230,15.323,2014-02
3595,Kepler-910 b,1,2.36436901,402.00,6230.00,,0.820,
3596,Kepler-911 b,1,20.31050100,567.00,6112.00,,2.600,
3597,Kepler-912 b,1,2.53475627,1265.00,5998.00,,2.800,
3598,Kepler-913 b,1,10.29672521,597.00,4687.00,,2.060,
3599,Kepler-914 b,1,4.40966548,678.00,5877.00,,1.380,
3600,Kepler-915 b,1,4.59489604,806.00,6173.00,,1.500,
3601,Kepler-916 b,1,32.29687980,769.00,5248.00,,1.760,
3602,Kepler-917 b,1,2.97041437,1027.00,5418.00,,1.910,
3603,Kepler-918 b,1,4.85386933,1245.00,6028.00,,1.740,
3604,Kepler-919 b,1,11.04603384,1219.00,6113.00,,2.250,
3605,Kepler-92 b,3,13.74900000,484.62,5883.00,64.30000,3.510,2014-02
3606,Kepler-92 c,3,26.72300000,484.62,5883.00,6.10000,2.600,2014-02
3607,Kepler-92 d,3,49.35680000,484.62,5883.00,,2.067,2015-08
3608,Kepler-920 b,2,6.53192704,926.00,5403.00,,2.420,
3609,Kepler-920 c,2,100.82741130,926.00,5403.00,,3.800,
3610,Kepler-921 b,1,51.30063400,847.00,5663.00,,2.870,
3611,Kepler-922 b,1,0.93846683,558.00,5671.00,,1.420,
3612,Kepler-923 b,1,6.93366476,966.00,5988.00,,1.380,
3613,Kepler-924 b,1,61.03701170,995.00,6167.00,,3.070,
3614,Kepler-925 b,1,33.86785310,623.00,4673.00,,2.340,
3615,Kepler-926 b,1,52.06886010,771.00,5806.00,,2.310,
3616,Kepler-927 b,1,9.11499030,879.00,5743.00,,1.720,
3617,Kepler-928 b,1,3.93246130,532.00,4700.00,,1.590,
3618,Kepler-929 b,1,0.92103214,820.00,5869.00,,1.110,
3619,Kepler-93 b,2,4.72674000,96.18,5669.00,3.17830,1.569,2014-02
3620,Kepler-93 c,2,1460.00000000,96.18,5669.00,954.00000,,2014-02
3621,Kepler-930 b,1,71.45177750,905.00,6335.00,,2.130,
3622,Kepler-931 b,1,8.03755877,490.00,5241.00,,1.330,
3623,Kepler-932 b,1,1.92143740,478.00,5331.00,,1.370,
3624,Kepler-933 b,1,14.20443009,922.00,5346.00,,2.460,
3625,Kepler-934 b,1,55.67383090,603.00,5001.00,,2.090,
3626,Kepler-935 b,1,4.88083852,482.00,4830.00,,1.350,
3627,Kepler-936 b,1,10.56134221,687.00,5482.00,,1.450,
3628,Kepler-937 b,2,67.66882700,1482.00,6095.00,,3.720,
